Name	Radius	Mass	T_eff (Host Star)	Transit Duration
WASP-11 b	11.46711584	146.2371425	4974	7588.47843852
WASP-110 b	13.58496594	162.1324841	5400	8065.30482798
WASP-111 b	15.82352252	581.7695016	6400	12089.3524171
WASP-112 b	13.06922006	279.7580117	5610	8816.82907537
WASP-117 b	11.20375624	87.58333208	6040	13718.8197019
WASP-12 b	19.0496776	446.3411914	6118	8428.14648368
WASP-120 b	16.62457464	1592.713226	6450	14801.9383884
WASP-121 b	19.82878308	376.0837817	6459	8087.55289585
WASP-122 b	21.63938032	436.1681728	5720	9477.49930431
WASP-123 b	14.56159112	292.474285	5740	9908.10567511
WASP-13 b	15.43945644	158.9534157	5989	13602.6384016
WASP-135 b	14.26531157	604.0229798	5675	6119.44060676
WASP-14 b	14.05681855	2333.75405	6462	9075.8002685
WASP-15 b	15.66989609	172.3055027	6300	12288.7367352
WASP-16 b	11.06110312	271.8103409	5550	7763.50870424
WASP-17 b	21.84787333	154.5027201	6650	12625.5197825
WASP-18 b	12.78391383	3315.768253	6400	6348.8420061
WASP-19 b	15.20901679	371.3151792	5500	5228.43280787
WASP-2 A b	12.25719463	290.566844	5255	6379.33694625
WASP-20 b	15.99909559	99.50483826	5950	12581.2194191
WASP-21 b	12.75099388	87.74228549	5800	10884.9029003
WASP-22 b	12.70710061	186.9292169	6000	9432.96790948
WASP-23 b	10.55633056	281.029639	5150	6739.49521166
WASP-24 b	12.11454152	328.0798501	6075	8275.78873544
WASP-25 b	13.8263789	184.3859623	5750	8361.85569876
WASP-26 b	14.05681855	326.8082228	5950	10236.5591968
WASP-28 b	13.31063302	288.3414962	6150	9251.40717328
WASP-29 b	8.69086674	77.56926689	4800	8049.06957866
WASP-3 b	15.95520232	654.8880729	6400	8464.55656784
WASP-31 b	16.8659876	151.9594655	6200	10046.4040774
WASP-32 b	13.05824674	1144.464593	6100	8338.30522704
WASP-34 b	13.3874462408	187.565030583	5700	8539.97345478
WASP-35 b	14.4847778999	228.892918678	5990	8849.7365335
WASP-36 b	13.9251387537	724.509668982	5881	6117.41485602
WASP-37 b	12.4656876472	539.169986219	5800	8928.55779358
WASP-38 b	11.960915084	861.527513358	6150	13553.5957076
WASP-39 b	13.9361120703	89.0139128193	5400	8273.04762789
WASP-4 b	14.9566305133	356.532511524	5500	7345.89280814
WASP-41 b	12.9485135771	298.832421607	5545	7315.36860713
WASP-42 b	11.8511819181	158.953415749	5200	8689.26012813
WASP-43 b	11.3683559881	646.622495266	4520	3936.09201317
WASP-44 b	10.995263224	276.261036571	5410	6766.90360763
WASP-45 b	12.7290472453	320.132179318	5140	8070.64358606
WASP-46 b	14.375044734	667.922252976	5620	5934.21725931
WASP-47 b	12.4986075969	370.043551863	5576	10374.8090703
WASP-47 e	1.78974793596	12.2076223295	5576	5962.7667784
WASP-47 d	3.55535457542	10.4273440731	5576	13434.5016703
WASP-48 b	18.3254387066	311.548694867	5920	12047.6741736
WASP-49 b	12.2352479987	120.168782306	5600	7933.86711587
WASP-5 b	12.8497537278	520.413483161	5700	7215.76598605
WASP-50 b	12.6193140794	467.323042301	5400	6178.30370163
WASP-52 b	13.9361120703	146.237142489	5000	5642.16453089
WASP-54 b	18.1388923246	202.188744832	6100	11687.212128
WASP-55 b	14.265311568	181.206893953	5900	9843.66948728
WASP-56 b	11.9828617172	181.524800785	5600	9235.84249163
WASP-57 b	10.0515579972	213.633390766	5600	10540.2537213
WASP-58 b	15.0334437294	282.937080033	5800	11568.9446831
WASP-59 b	8.50432035787	274.353595582	4650	7717.00755961
WASP-6 b	13.4313395071	159.907136243	5450	7671.29410317
WASP-60 b	9.43705226809	163.40411139	5900	9881.71764269
WASP-61 b	13.6069125726	654.888072884	6250	11292.5362163
WASP-62 b	15.2529100612	181.206893953	6230	11026.7500662
WASP-63 b	15.6918427248	120.804595969	5570	15863.2453154
WASP-64 b	13.9470853869	404.059582833	5400	6823.83839891
WASP-65 b	12.202328049	492.755588821	5600	7740.77104781
WASP-66 b	15.2529100612	737.543849074	6600	14504.0348354
WASP-67 b	15.3626432271	133.520869229	5200	8584.51601668
WASP-68 b	13.6069125726	302.011489922	5911	15304.5447367
WASP-69 b	11.5987956365	82.6557761893	4715	7695.94219487
WASP-7 b	14.5945110658	305.190558237	6400	12734.8592079
WASP-70 A b	12.7729405117	187.565030583	5700	10293.5287847
WASP-71 b	16.0210422226	712.747116217	6050	15732.8110711
WASP-72 b	11.0830497567	448.248632411	6250	9433.07056113
WASP-73 b	12.7290472453	597.664843215	6036	16985.3835201
WASP-74 b	17.1183738817	302.011489922	5990	10489.1312829
WASP-75 b	13.9361120703	340.160309702	6100	9242.61037757
WASP-76 b	20.0811693612	292.474284978	6250	10515.0053482
WASP-77 A b	13.2777130749	559.516023435	5500	7016.31341588
WASP-78 b	19.2033040339	368.771924537	6100	13396.4677041
WASP-79 b	18.6546382044	286.116148348	6600	12332.5851727
WASP-8 b	11.3903026213	713.38292988	5600	10738.1793713
WASP-80 b	10.4465973944	176.12038465	4145	5661.78215811
